May 6, 2023   16:51:24
Linear Sweep Voltammetry
File: d:\Data Source:  Experiment
Instrument Model:  CHI750E
Header: 
Note: 

Init E (V) = -0.1
Final E (V) = 0.8
Scan Rate (V/s) = 0.01
Sample Interval (V) = 0.001
Quiet Time (sec) = 2
Sensitivity (A/V) = 0.001

Results:

Channel 1:

Potential/V, Current/A

-0.100, 3.168e-5
-0.099, 1.919e-5
-0.098, 1.363e-5
-0.097, 1.062e-5
-0.096, 8.572e-6
-0.095, 7.077e-6
-0.094, 5.987e-6
-0.093, 5.136e-6
-0.092, 4.507e-6
-0.091, 4.056e-6
-0.090, 3.551e-6
-0.089, 3.166e-6
-0.088, 3.063e-6
-0.087, 2.854e-6
-0.086, 2.779e-6
-0.085, 2.747e-6
-0.084, 2.680e-6
-0.083, 2.789e-6
-0.082, 3.020e-6
-0.081, 3.004e-6
-0.080, 3.280e-6
-0.079, 3.275e-6
-0.078, 3.412e-6
-0.077, 3.565e-6
-0.076, 3.889e-6
-0.075, 4.246e-6
-0.074, 4.541e-6
-0.073, 4.822e-6
-0.072, 5.245e-6
-0.071, 5.515e-6
-0.070, 5.786e-6
-0.069, 6.168e-6
-0.068, 6.392e-6
-0.067, 6.649e-6
-0.066, 7.004e-6
-0.065, 7.356e-6
-0.064, 7.592e-6
-0.063, 7.857e-6
-0.062, 8.186e-6
-0.061, 8.469e-6
-0.060, 8.652e-6
-0.059, 9.167e-6
-0.058, 9.301e-6
-0.057, 9.342e-6
-0.056, 9.731e-6
-0.055, 9.856e-6
-0.054, 9.968e-6
-0.053, 1.016e-5
-0.052, 1.015e-5
-0.051, 1.025e-5
-0.050, 1.055e-5
-0.049, 1.073e-5
-0.048, 1.078e-5
-0.047, 1.093e-5
-0.046, 1.101e-5
-0.045, 1.108e-5
-0.044, 1.111e-5
-0.043, 1.125e-5
-0.042, 1.131e-5
-0.041, 1.122e-5
-0.040, 1.125e-5
-0.039, 1.129e-5
-0.038, 1.118e-5
-0.037, 1.129e-5
-0.036, 1.122e-5
-0.035, 1.130e-5
-0.034, 1.135e-5
-0.033, 1.134e-5
-0.032, 1.131e-5
-0.031, 1.145e-5
-0.030, 1.152e-5
-0.029, 1.158e-5
-0.028, 1.156e-5
-0.027, 1.168e-5
-0.026, 1.177e-5
-0.025, 1.183e-5
-0.024, 1.197e-5
-0.023, 1.203e-5
-0.022, 1.219e-5
-0.021, 1.237e-5
-0.020, 1.237e-5
-0.019, 1.249e-5
-0.018, 1.269e-5
-0.017, 1.277e-5
-0.016, 1.298e-5
-0.015, 1.307e-5
-0.014, 1.323e-5
-0.013, 1.329e-5
-0.012, 1.346e-5
-0.011, 1.365e-5
-0.010, 1.373e-5
-0.009, 1.375e-5
-0.008, 1.391e-5
-0.007, 1.402e-5
-0.006, 1.407e-5
-0.005, 1.429e-5
-0.004, 1.442e-5
-0.003, 1.452e-5
-0.002, 1.473e-5
-0.001, 1.484e-5
-0.000, 1.464e-5
0.001, 1.497e-5
0.002, 1.527e-5
0.003, 1.533e-5
0.004, 1.538e-5
0.005, 1.557e-5
0.006, 1.562e-5
0.007, 1.564e-5
0.008, 1.583e-5
0.009, 1.595e-5
0.010, 1.606e-5
0.011, 1.618e-5
0.012, 1.615e-5
0.013, 1.632e-5
0.014, 1.646e-5
0.015, 1.647e-5
0.016, 1.658e-5
0.017, 1.666e-5
0.018, 1.659e-5
0.019, 1.680e-5
0.020, 1.690e-5
0.021, 1.703e-5
0.022, 1.703e-5
0.023, 1.698e-5
0.024, 1.704e-5
0.025, 1.712e-5
0.026, 1.715e-5
0.027, 1.726e-5
0.028, 1.732e-5
0.029, 1.740e-5
0.030, 1.732e-5
0.031, 1.735e-5
0.032, 1.745e-5
0.033, 1.762e-5
0.034, 1.763e-5
0.035, 1.762e-5
0.036, 1.759e-5
0.037, 1.768e-5
0.038, 1.774e-5
0.039, 1.770e-5
0.040, 1.771e-5
0.041, 1.770e-5
0.042, 1.772e-5
0.043, 1.790e-5
