May 6, 2023   17:38:18
Linear Sweep Voltammetry
File: d:\Data Source:  Experiment
Instrument Model:  CHI750E
Header: 
Note: 

Init E (V) = -0.1
Final E (V) = 0.8
Scan Rate (V/s) = 0.01
Sample Interval (V) = 0.001
Quiet Time (sec) = 2
Sensitivity (A/V) = 0.001

Results:

Channel 1:

Potential/V, Current/A

-0.100, 4.640e-5
-0.099, 2.750e-5
-0.098, 1.603e-5
-0.097, 8.871e-6
-0.096, 4.116e-6
-0.095, 5.840e-7
-0.094, -1.925e-6
-0.093, -3.870e-6
-0.092, -5.515e-6
-0.091, -6.709e-6
-0.090, -7.776e-6
-0.089, -8.640e-6
-0.088, -9.141e-6
-0.087, -9.758e-6
-0.086, -1.018e-5
-0.085, -1.040e-5
-0.084, -1.079e-5
-0.083, -1.094e-5
-0.082, -1.096e-5
-0.081, -1.092e-5
-0.080, -1.070e-5
-0.079, -1.065e-5
-0.078, -1.046e-5
-0.077, -1.019e-5
-0.076, -1.007e-5
-0.075, -9.707e-6
-0.074, -9.372e-6
-0.073, -9.066e-6
-0.072, -8.554e-6
-0.071, -8.297e-6
-0.070, -7.911e-6
-0.069, -7.351e-6
-0.068, -6.968e-6
-0.067, -6.515e-6
-0.066, -6.063e-6
-0.065, -5.543e-6
-0.064, -5.154e-6
-0.063, -4.788e-6
-0.062, -4.287e-6
-0.061, -3.831e-6
-0.060, -3.544e-6
-0.059, -3.029e-6
-0.058, -2.734e-6
-0.057, -2.355e-6
-0.056, -1.852e-6
-0.055, -1.572e-6
-0.054, -1.247e-6
-0.053, -9.497e-7
-0.052, -7.952e-7
-0.051, -8.488e-7
-0.050, -2.159e-7
-0.049, 4.019e-8
-0.048, 2.719e-7
-0.047, 4.461e-7
-0.046, 7.125e-7
-0.045, 8.985e-7
-0.044, 1.014e-6
-0.043, 1.262e-6
-0.042, 1.365e-6
-0.041, 1.418e-6
-0.040, 1.659e-6
-0.039, 1.679e-6
-0.038, 1.767e-6
-0.037, 1.979e-6
-0.036, 1.891e-6
-0.035, 2.007e-6
-0.034, 2.141e-6
-0.033, 2.277e-6
-0.032, 2.447e-6
-0.031, 2.498e-6
-0.030, 2.738e-6
-0.029, 2.984e-6
-0.028, 3.099e-6
-0.027, 3.290e-6
-0.026, 3.446e-6
-0.025, 3.642e-6
-0.024, 3.983e-6
-0.023, 4.199e-6
-0.022, 4.525e-6
-0.021, 4.866e-6
-0.020, 5.037e-6
-0.019, 5.222e-6
-0.018, 5.523e-6
-0.017, 5.866e-6
-0.016, 6.239e-6
-0.015, 6.471e-6
-0.014, 6.761e-6
-0.013, 7.140e-6
-0.012, 7.409e-6
-0.011, 7.646e-6
-0.010, 7.895e-6
-0.009, 8.176e-6
-0.008, 8.502e-6
-0.007, 8.758e-6
-0.006, 8.944e-6
-0.005, 9.309e-6
-0.004, 9.458e-6
-0.003, 9.719e-6
-0.002, 9.964e-6
-0.001, 1.020e-5
-0.000, 9.863e-6
0.001, 1.047e-5
0.002, 1.077e-5
0.003, 1.102e-5
0.004, 1.113e-5
0.005, 1.139e-5
0.006, 1.142e-5
0.007, 1.156e-5
0.008, 1.188e-5
0.009, 1.203e-5
0.010, 1.216e-5
0.011, 1.235e-5
0.012, 1.238e-5
0.013, 1.264e-5
0.014, 1.290e-5
0.015, 1.295e-5
0.016, 1.303e-5
0.017, 1.314e-5
0.018, 1.332e-5
0.019, 1.336e-5
0.020, 1.344e-5
0.021, 1.351e-5
0.022, 1.358e-5
0.023, 1.367e-5
0.024, 1.385e-5
0.025, 1.385e-5
0.026, 1.386e-5
0.027, 1.401e-5
0.028, 1.397e-5
0.029, 1.413e-5
0.030, 1.424e-5
0.031, 1.430e-5
0.032, 1.443e-5
0.033, 1.443e-5
0.034, 1.450e-5
0.035, 1.453e-5
0.036, 1.447e-5
0.037, 1.460e-5
0.038, 1.467e-5
0.039, 1.470e-5
0.040, 1.483e-5
0.041, 1.477e-5
0.042, 1.475e-5
0.043, 1.476e-5
