May 6, 2023   17:23:54
Linear Sweep Voltammetry
File: d:\Data Source:  Experiment
Instrument Model:  CHI750E
Header: 
Note: 

Init E (V) = -0.1
Final E (V) = 0.8
Scan Rate (V/s) = 0.01
Sample Interval (V) = 0.001
Quiet Time (sec) = 2
Sensitivity (A/V) = 0.001

Results:

Channel 1:

Potential/V, Current/A

-0.100, 3.931e-5
-0.099, 2.380e-5
-0.098, 1.573e-5
-0.097, 1.107e-5
-0.096, 8.006e-6
-0.095, 5.757e-6
-0.094, 3.958e-6
-0.093, 2.530e-6
-0.092, 1.259e-6
-0.091, 2.049e-7
-0.090, -7.180e-7
-0.089, -1.510e-6
-0.088, -2.023e-6
-0.087, -2.609e-6
-0.086, -3.007e-6
-0.085, -3.379e-6
-0.084, -3.781e-6
-0.083, -4.025e-6
-0.082, -4.130e-6
-0.081, -4.179e-6
-0.080, -4.178e-6
-0.079, -4.201e-6
-0.078, -4.117e-6
-0.077, -3.964e-6
-0.076, -3.696e-6
-0.075, -3.438e-6
-0.074, -3.231e-6
-0.073, -2.873e-6
-0.072, -2.338e-6
-0.071, -1.904e-6
-0.070, -1.508e-6
-0.069, -1.047e-6
-0.068, -5.974e-7
-0.067, -6.541e-8
-0.066, 3.696e-7
-0.065, 7.645e-7
-0.064, 1.277e-6
-0.063, 1.770e-6
-0.062, 2.312e-6
-0.061, 2.745e-6
-0.060, 3.121e-6
-0.059, 3.606e-6
-0.058, 4.038e-6
-0.057, 4.498e-6
-0.056, 4.858e-6
-0.055, 5.125e-6
-0.054, 5.489e-6
-0.053, 5.885e-6
-0.052, 5.982e-6
-0.051, 5.954e-6
-0.050, 6.499e-6
-0.049, 6.755e-6
-0.048, 6.916e-6
-0.047, 7.116e-6
-0.046, 7.271e-6
-0.045, 7.362e-6
-0.044, 7.490e-6
-0.043, 7.717e-6
-0.042, 7.820e-6
-0.041, 7.780e-6
-0.040, 7.899e-6
-0.039, 7.897e-6
-0.038, 7.966e-6
-0.037, 8.029e-6
-0.036, 8.052e-6
-0.035, 8.224e-6
-0.034, 8.328e-6
-0.033, 8.353e-6
-0.032, 8.279e-6
-0.031, 8.376e-6
-0.030, 8.648e-6
-0.029, 8.836e-6
-0.028, 8.884e-6
-0.027, 8.993e-6
-0.026, 9.055e-6
-0.025, 9.162e-6
-0.024, 9.531e-6
-0.023, 9.689e-6
-0.022, 9.856e-6
-0.021, 1.006e-5
-0.020, 1.023e-5
-0.019, 1.034e-5
-0.018, 1.046e-5
-0.017, 1.072e-5
-0.016, 1.098e-5
-0.015, 1.119e-5
-0.014, 1.138e-5
-0.013, 1.156e-5
-0.012, 1.178e-5
-0.011, 1.199e-5
-0.010, 1.218e-5
-0.009, 1.234e-5
-0.008, 1.249e-5
-0.007, 1.249e-5
-0.006, 1.263e-5
-0.005, 1.300e-5
-0.004, 1.306e-5
-0.003, 1.335e-5
-0.002, 1.349e-5
-0.001, 1.358e-5
-0.000, 1.335e-5
0.001, 1.386e-5
0.002, 1.403e-5
0.003, 1.415e-5
0.004, 1.415e-5
0.005, 1.430e-5
0.006, 1.437e-5
0.007, 1.449e-5
0.008, 1.473e-5
0.009, 1.484e-5
0.010, 1.492e-5
0.011, 1.499e-5
0.012, 1.514e-5
0.013, 1.518e-5
0.014, 1.531e-5
0.015, 1.523e-5
0.016, 1.552e-5
0.017, 1.556e-5
0.018, 1.555e-5
0.019, 1.562e-5
0.020, 1.565e-5
0.021, 1.586e-5
0.022, 1.593e-5
0.023, 1.600e-5
0.024, 1.615e-5
0.025, 1.601e-5
0.026, 1.603e-5
0.027, 1.614e-5
0.028, 1.610e-5
0.029, 1.621e-5
0.030, 1.626e-5
0.031, 1.628e-5
0.032, 1.637e-5
0.033, 1.635e-5
0.034, 1.636e-5
0.035, 1.644e-5
0.036, 1.652e-5
0.037, 1.653e-5
0.038, 1.656e-5
0.039, 1.659e-5
0.040, 1.661e-5
0.041, 1.660e-5
0.042, 1.658e-5
0.043, 1.657e-5
