May 6, 2023   17:08:14
Linear Sweep Voltammetry
File: d:\Data Source:  Experiment
Instrument Model:  CHI750E
Header: 
Note: 

Init E (V) = -0.1
Final E (V) = 0.8
Scan Rate (V/s) = 0.01
Sample Interval (V) = 0.001
Quiet Time (sec) = 2
Sensitivity (A/V) = 0.001

Results:

Channel 1:

Potential/V, Current/A

0.143, 1.590e-5
0.144, 1.604e-5
0.145, 1.600e-5
0.146, 1.595e-5
0.147, 1.598e-5
0.148, 1.590e-5
0.149, 1.602e-5
0.150, 1.598e-5
0.151, 1.590e-5
0.152, 1.588e-5
0.153, 1.560e-5
0.154, 1.577e-5
0.155, 1.578e-5
0.156, 1.575e-5
0.157, 1.582e-5
0.158, 1.585e-5
0.159, 1.587e-5
0.160, 1.581e-5
0.161, 1.575e-5
0.162, 1.577e-5
0.163, 1.581e-5
0.164, 1.575e-5
0.165, 1.577e-5
0.166, 1.573e-5
0.167, 1.564e-5
0.168, 1.570e-5
0.169, 1.568e-5
0.170, 1.573e-5
0.171, 1.569e-5
0.172, 1.566e-5
0.173, 1.571e-5
0.174, 1.567e-5
0.175, 1.563e-5
0.176, 1.562e-5
0.177, 1.552e-5
0.178, 1.555e-5
0.179, 1.570e-5
0.180, 1.554e-5
0.181, 1.547e-5
0.182, 1.563e-5
0.183, 1.556e-5
0.184, 1.558e-5
0.185, 1.548e-5
0.186, 1.547e-5
0.187, 1.549e-5
0.188, 1.545e-5
0.189, 1.545e-5
0.190, 1.556e-5
0.191, 1.542e-5
0.192, 1.538e-5
0.193, 1.536e-5
0.194, 1.534e-5
0.195, 1.540e-5
0.196, 1.539e-5
0.197, 1.538e-5
0.198, 1.540e-5
0.199, 1.539e-5
0.200, 1.545e-5
0.201, 1.545e-5
0.202, 1.539e-5
0.203, 1.539e-5
0.204, 1.536e-5
0.205, 1.541e-5
0.206, 1.537e-5
0.207, 1.525e-5
0.208, 1.540e-5
0.209, 1.541e-5
0.210, 1.536e-5
0.211, 1.540e-5
0.212, 1.535e-5
0.213, 1.539e-5
0.214, 1.538e-5
0.215, 1.514e-5
0.216, 1.531e-5
0.217, 1.537e-5
0.218, 1.531e-5
0.219, 1.530e-5
0.220, 1.531e-5
0.221, 1.538e-5
0.222, 1.532e-5
0.223, 1.522e-5
0.224, 1.527e-5
0.225, 1.527e-5
0.226, 1.525e-5
0.227, 1.534e-5
0.228, 1.527e-5
0.229, 1.532e-5
0.230, 1.525e-5
0.231, 1.526e-5
0.232, 1.531e-5
0.233, 1.515e-5
0.234, 1.502e-5
0.235, 1.525e-5
0.236, 1.518e-5
0.237, 1.524e-5
0.238, 1.531e-5
0.239, 1.527e-5
0.240, 1.533e-5
0.241, 1.532e-5
0.242, 1.525e-5
0.243, 1.531e-5
0.244, 1.527e-5
0.245, 1.532e-5
0.246, 1.530e-5
0.247, 1.532e-5
0.248, 1.538e-5
0.249, 1.536e-5
0.250, 1.532e-5
0.251, 1.539e-5
0.252, 1.526e-5
0.253, 1.520e-5
0.254, 1.524e-5
0.255, 1.521e-5
0.256, 1.512e-5
0.257, 1.547e-5
0.258, 1.531e-5
0.259, 1.526e-5
0.260, 1.515e-5
0.261, 1.526e-5
0.262, 1.540e-5
0.263, 1.523e-5
0.264, 1.527e-5
0.265, 1.526e-5
0.266, 1.526e-5
0.267, 1.530e-5
0.268, 1.536e-5
0.269, 1.524e-5
0.270, 1.527e-5
0.271, 1.537e-5
0.272, 1.542e-5
0.273, 1.532e-5
0.274, 1.527e-5
0.275, 1.527e-5
0.276, 1.535e-5
0.277, 1.521e-5
0.278, 1.535e-5
0.279, 1.527e-5
0.280, 1.519e-5
0.281, 1.527e-5
0.282, 1.530e-5
0.283, 1.532e-5
0.284, 1.535e-5
0.285, 1.537e-5
0.286, 1.530e-5
0.287, 1.525e-5
0.288, 1.540e-5
0.289, 1.551e-5
0.290, 1.547e-5
0.291, 1.535e-5
0.292, 1.521e-5
0.293, 1.533e-5
0.294, 1.535e-5
0.295, 1.533e-5
0.296, 1.539e-5
0.297, 1.537e-5
0.298, 1.532e-5
0.299, 1.529e-5
0.300, 1.526e-5
0.301, 1.533e-5
0.302, 1.533e-5
0.303, 1.530e-5
0.304, 1.533e-5
0.305, 1.536e-5
0.306, 1.535e-5
0.307, 1.522e-5
0.308, 1.532e-5
0.309, 1.530e-5
0.310, 1.524e-5
0.311, 1.519e-5
0.312, 1.517e-5
0.313, 1.526e-5
0.314, 1.532e-5
0.315, 1.536e-5
0.316, 1.529e-5
0.317, 1.532e-5
0.318, 1.536e-5
0.319, 1.526e-5
0.320, 1.523e-5
0.321, 1.527e-5
0.322, 1.538e-5
0.323, 1.533e-5
0.324, 1.531e-5
0.325, 1.536e-5
0.326, 1.525e-5
0.327, 1.519e-5
0.328, 1.532e-5
0.329, 1.539e-5
0.330, 1.532e-5
0.331, 1.532e-5
0.332, 1.521e-5
0.333, 1.526e-5
0.334, 1.529e-5
0.335, 1.530e-5
0.336, 1.530e-5
0.337, 1.529e-5
0.338, 1.520e-5
0.339, 1.521e-5
0.340, 1.516e-5
0.341, 1.528e-5
0.342, 1.527e-5
0.343, 1.517e-5
0.344, 1.534e-5
0.345, 1.522e-5
0.346, 1.514e-5
0.347, 1.518e-5
0.348, 1.510e-5
0.349, 1.523e-5
0.350, 1.518e-5
0.351, 1.516e-5
0.352, 1.510e-5
0.353, 1.508e-5
0.354, 1.516e-5
0.355, 1.521e-5
0.356, 1.519e-5
0.357, 1.514e-5
0.358, 1.497e-5
0.359, 1.505e-5
0.360, 1.513e-5
0.361, 1.504e-5
0.362, 1.510e-5
0.363, 1.509e-5
0.364, 1.510e-5
0.365, 1.506e-5
0.366, 1.503e-5
0.367, 1.500e-5
0.368, 1.512e-5
0.369, 1.493e-5
0.370, 1.494e-5
0.371, 1.496e-5
0.372, 1.489e-5
0.373, 1.488e-5
0.374, 1.492e-5
0.375, 1.479e-5
0.376, 1.477e-5
0.377, 1.482e-5
0.378, 1.477e-5
0.379, 1.479e-5
0.380, 1.476e-5
0.381, 1.479e-5
0.382, 1.476e-5
0.383, 1.469e-5
0.384, 1.467e-5
0.385, 1.470e-5
0.386, 1.466e-5
0.387, 1.462e-5
0.388, 1.451e-5
0.389, 1.459e-5
0.390, 1.460e-5
0.391, 1.453e-5
0.392, 1.456e-5
0.393, 1.455e-5
0.394, 1.448e-5
0.395, 1.443e-5
0.396, 1.431e-5
0.397, 1.428e-5
0.398, 1.422e-5
0.399, 1.422e-5
0.400, 1.429e-5
0.401, 1.413e-5
0.402, 1.413e-5
0.403, 1.418e-5
0.404, 1.409e-5
0.405, 1.404e-5
0.406, 1.406e-5
0.407, 1.398e-5
0.408, 1.392e-5
0.409, 1.384e-5
0.410, 1.383e-5
0.411, 1.386e-5
0.412, 1.376e-5
0.413, 1.380e-5
0.414, 1.376e-5
0.415, 1.361e-5
0.416, 1.357e-5
0.417, 1.362e-5
0.418, 1.355e-5
0.419, 1.354e-5
0.420, 1.355e-5
0.421, 1.351e-5
0.422, 1.344e-5
0.423, 1.332e-5
0.424, 1.332e-5
0.425, 1.332e-5
0.426, 1.329e-5
0.427, 1.332e-5
0.428, 1.319e-5
0.429, 1.305e-5
0.430, 1.309e-5
0.431, 1.298e-5
0.432, 1.298e-5
0.433, 1.292e-5
0.434, 1.285e-5
0.435, 1.277e-5
0.436, 1.269e-5
0.437, 1.268e-5
0.438, 1.266e-5
0.439, 1.263e-5
0.440, 1.256e-5
0.441, 1.251e-5
0.442, 1.243e-5
0.443, 1.241e-5
0.444, 1.228e-5
0.445, 1.233e-5
0.446, 1.228e-5
0.447, 1.219e-5
0.448, 1.210e-5
0.449, 1.199e-5
0.450, 1.192e-5
0.451, 1.194e-5
0.452, 1.184e-5
0.453, 1.184e-5
0.454, 1.175e-5
0.455, 1.167e-5
0.456, 1.166e-5
0.457, 1.158e-5
0.458, 1.148e-5
0.459, 1.149e-5
0.460, 1.132e-5
0.461, 1.110e-5
0.462, 1.108e-5
0.463, 1.102e-5
0.464, 1.099e-5
0.465, 1.093e-5
0.466, 1.078e-5
0.467, 1.065e-5
0.468, 1.057e-5
0.469, 1.057e-5
0.470, 1.052e-5
0.471, 1.039e-5
0.472, 1.028e-5
0.473, 1.023e-5
0.474, 1.011e-5
0.475, 1.001e-5
0.476, 9.853e-6
0.477, 9.768e-6
0.478, 9.696e-6
0.479, 9.606e-6
0.480, 9.480e-6
0.481, 9.339e-6
0.482, 9.174e-6
0.483, 9.155e-6
0.484, 8.964e-6
0.485, 8.884e-6
0.486, 8.746e-6
0.487, 8.590e-6
0.488, 8.557e-6
0.489, 8.370e-6
0.490, 8.177e-6
0.491, 8.048e-6
0.492, 7.956e-6
0.493, 7.854e-6
0.494, 7.665e-6
0.495, 7.469e-6
0.496, 7.396e-6
0.497, 7.211e-6
0.498, 7.025e-6
0.499, 6.852e-6
0.500, 6.742e-6
0.501, 6.595e-6
0.502, 6.396e-6
0.503, 6.258e-6
0.504, 6.190e-6
0.505, 5.937e-6
0.506, 5.671e-6
0.507, 5.533e-6
0.508, 5.332e-6
0.509, 5.088e-6
0.510, 4.944e-6
0.511, 4.767e-6
0.512, 4.503e-6
0.513, 4.338e-6
0.514, 4.086e-6
0.515, 3.915e-6
0.516, 3.738e-6
0.517, 3.495e-6
0.518, 3.286e-6
0.519, 3.026e-6
0.520, 2.902e-6
0.521, 2.638e-6
0.522, 2.423e-6
0.523, 2.199e-6
0.524, 1.962e-6
0.525, 1.746e-6
0.526, 1.557e-6
0.527, 1.252e-6
0.528, 1.139e-6
0.529, 8.559e-7
0.530, 6.045e-7
0.531, 3.838e-7
0.532, 1.009e-7
0.533, -5.675e-8
0.534, -2.790e-7
0.535, -5.816e-7
0.536, -7.440e-7
0.537, -1.015e-6
0.538, -1.300e-6
0.539, -1.460e-6
0.540, -1.728e-6
0.541, -1.972e-6
0.542, -2.163e-6
0.543, -2.427e-6
0.544, -2.639e-6
0.545, -2.897e-6
0.546, -3.188e-6
0.547, -3.359e-6
0.548, -3.649e-6
0.549, -3.844e-6
0.550, -4.095e-6
0.551, -4.343e-6
0.552, -4.544e-6
0.553, -4.826e-6
0.554, -5.078e-6
0.555, -5.243e-6
0.556, -5.537e-6
0.557, -5.781e-6
0.558, -5.950e-6
0.559, -6.236e-6
0.560, -6.417e-6
0.561, -6.626e-6
0.562, -6.835e-6
0.563, -7.194e-6
0.564, -7.328e-6
0.565, -7.527e-6
0.566, -7.710e-6
0.567, -7.892e-6
0.568, -8.111e-6
0.569, -8.337e-6
0.570, -8.542e-6
0.571, -8.743e-6
0.572, -8.963e-6
0.573, -9.158e-6
0.574, -9.353e-6
0.575, -9.514e-6
0.576, -9.719e-6
0.577, -9.900e-6
0.578, -1.012e-5
0.579, -1.026e-5
0.580, -1.048e-5
0.581, -1.064e-5
0.582, -1.081e-5
0.583, -1.102e-5
0.584, -1.114e-5
0.585, -1.138e-5
0.586, -1.153e-5
0.587, -1.167e-5
0.588, -1.189e-5
0.589, -1.204e-5
0.590, -1.214e-5
0.591, -1.235e-5
0.592, -1.247e-5
0.593, -1.268e-5
0.594, -1.283e-5
0.595, -1.294e-5
0.596, -1.308e-5
0.597, -1.322e-5
0.598, -1.336e-5
0.599, -1.354e-5
0.600, -1.362e-5
0.601, -1.383e-5
0.602, -1.399e-5
0.603, -1.404e-5
0.604, -1.422e-5
0.605, -1.435e-5
0.606, -1.445e-5
0.607, -1.462e-5
0.608, -1.477e-5
0.609, -1.486e-5
0.610, -1.502e-5
0.611, -1.512e-5
0.612, -1.523e-5
0.613, -1.538e-5
0.614, -1.551e-5
0.615, -1.567e-5
0.616, -1.572e-5
0.617, -1.587e-5
0.618, -1.596e-5
0.619, -1.608e-5
0.620, -1.623e-5
0.621, -1.634e-5
0.622, -1.643e-5
0.623, -1.657e-5
0.624, -1.668e-5
0.625, -1.681e-5
0.626, -1.694e-5
0.627, -1.703e-5
0.628, -1.717e-5
0.629, -1.728e-5
0.630, -1.740e-5
0.631, -1.754e-5
0.632, -1.760e-5
0.633, -1.779e-5
0.634, -1.796e-5
0.635, -1.799e-5
0.636, -1.817e-5
0.637, -1.831e-5
0.638, -1.843e-5
0.639, -1.857e-5
0.640, -1.868e-5
0.641, -1.879e-5
0.642, -1.897e-5
0.643, -1.906e-5
0.644, -1.925e-5
0.645, -1.936e-5
0.646, -1.951e-5
0.647, -1.968e-5
0.648, -1.977e-5
0.649, -1.987e-5
0.650, -2.006e-5
0.651, -2.020e-5
0.652, -2.040e-5
0.653, -2.052e-5
0.654, -2.065e-5
0.655, -2.085e-5
0.656, -2.100e-5
0.657, -2.118e-5
0.658, -2.136e-5
0.659, -2.150e-5
0.660, -2.165e-5
0.661, -2.179e-5
0.662, -2.198e-5
0.663, -2.214e-5
0.664, -2.227e-5
0.665, -2.255e-5
0.666, -2.274e-5
0.667, -2.281e-5
0.668, -2.300e-5
0.669, -2.318e-5
0.670, -2.335e-5
0.671, -2.356e-5
0.672, -2.375e-5
0.673, -2.393e-5
0.674, -2.412e-5
0.675, -2.427e-5
0.676, -2.455e-5
0.677, -2.472e-5
0.678, -2.488e-5
0.679, -2.508e-5
0.680, -2.525e-5
0.681, -2.547e-5
0.682, -2.568e-5
0.683, -2.586e-5
0.684, -2.609e-5
0.685, -2.638e-5
0.686, -2.656e-5
0.687, -2.674e-5
0.688, -2.696e-5
0.689, -2.720e-5
0.690, -2.741e-5
0.691, -2.768e-5
0.692, -2.794e-5
0.693, -2.816e-5
0.694, -2.839e-5
0.695, -2.861e-5
0.696, -2.875e-5
0.697, -2.909e-5
0.698, -2.931e-5
0.699, -2.956e-5
0.700, -2.985e-5
0.701, -3.007e-5
0.702, -3.034e-5
0.703, -3.059e-5
0.704, -3.079e-5
0.705, -3.107e-5
0.706, -3.137e-5
0.707, -3.156e-5
0.708, -3.186e-5
0.709, -3.209e-5
0.710, -3.237e-5
0.711, -3.266e-5
0.712, -3.284e-5
0.713, -3.317e-5
0.714, -3.347e-5
0.715, -3.371e-5
0.716, -3.402e-5
0.717, -3.430e-5
0.718, -3.453e-5
0.719, -3.479e-5
0.720, -3.503e-5
0.721, -3.536e-5
0.722, -3.567e-5
0.723, -3.598e-5
0.724, -3.625e-5
0.725, -3.648e-5
0.726, -3.676e-5
0.727, -3.704e-5
0.728, -3.730e-5
0.729, -3.754e-5
0.730, -3.788e-5
0.731, -3.812e-5
0.732, -3.847e-5
0.733, -3.869e-5
0.734, -3.898e-5
0.735, -3.929e-5
0.736, -3.959e-5
0.737, -3.986e-5
0.738, -4.011e-5
0.739, -4.038e-5
0.740, -4.069e-5
0.741, -4.094e-5
0.742, -4.125e-5
0.743, -4.162e-5
0.744, -4.180e-5
0.745, -4.205e-5
0.746, -4.241e-5
0.747, -4.264e-5
0.748, -4.300e-5
0.749, -4.323e-5
0.750, -4.351e-5
0.751, -4.385e-5
0.752, -4.404e-5
0.753, -4.434e-5
0.754, -4.463e-5
