May 6, 2023   17:05:07
Linear Sweep Voltammetry
File: d:\Data Source:  Experiment
Instrument Model:  CHI750E
Header: 
Note: 

Init E (V) = -0.1
Final E (V) = 0.8
Scan Rate (V/s) = 0.01
Sample Interval (V) = 0.001
Quiet Time (sec) = 2
Sensitivity (A/V) = 0.001

Results:

Channel 1:

Potential/V, Current/A

-0.100, 7.210e-4
-0.099, 7.058e-4
-0.098, 6.977e-4
-0.097, 6.930e-4
-0.096, 6.905e-4
-0.095, 6.888e-4
-0.094, 6.873e-4
-0.093, 6.867e-4
-0.092, 6.865e-4
-0.091, 6.863e-4
-0.090, 6.856e-4
-0.089, 6.855e-4
-0.088, 6.853e-4
-0.087, 6.841e-4
-0.086, 6.844e-4
-0.085, 6.846e-4
-0.084, 6.846e-4
-0.083, 6.840e-4
-0.082, 6.835e-4
-0.081, 6.841e-4
-0.080, 6.850e-4
-0.079, 6.852e-4
-0.078, 6.845e-4
-0.077, 6.841e-4
-0.076, 6.837e-4
-0.075, 6.842e-4
-0.074, 6.852e-4
-0.073, 6.850e-4
-0.072, 6.849e-4
-0.071, 6.843e-4
-0.070, 6.836e-4
-0.069, 6.844e-4
-0.068, 6.851e-4
-0.067, 6.852e-4
-0.066, 6.857e-4
-0.065, 6.857e-4
-0.064, 6.861e-4
-0.063, 6.864e-4
-0.062, 6.863e-4
-0.061, 6.857e-4
-0.060, 6.862e-4
-0.059, 6.862e-4
-0.058, 6.863e-4
-0.057, 6.863e-4
-0.056, 6.871e-4
-0.055, 6.881e-4
-0.054, 6.906e-4
-0.053, 6.917e-4
-0.052, 6.898e-4
-0.051, 6.891e-4
-0.050, 6.880e-4
-0.049, 6.880e-4
-0.048, 6.894e-4
-0.047, 6.898e-4
-0.046, 6.906e-4
-0.045, 6.909e-4
-0.044, 6.915e-4
-0.043, 6.926e-4
-0.042, 6.920e-4
-0.041, 6.927e-4
-0.040, 6.926e-4
-0.039, 6.922e-4
-0.038, 6.924e-4
-0.037, 6.936e-4
-0.036, 6.919e-4
-0.035, 6.978e-4
-0.034, 6.963e-4
-0.033, 6.943e-4
-0.032, 6.942e-4
-0.031, 6.947e-4
-0.030, 6.956e-4
-0.029, 6.970e-4
-0.028, 6.976e-4
-0.027, 6.968e-4
-0.026, 6.975e-4
-0.025, 6.978e-4
-0.024, 6.980e-4
-0.023, 6.983e-4
-0.022, 6.981e-4
-0.021, 6.993e-4
-0.020, 6.958e-4
-0.019, 6.959e-4
-0.018, 6.981e-4
-0.017, 6.986e-4
-0.016, 6.987e-4
-0.015, 6.999e-4
-0.014, 7.005e-4
-0.013, 6.998e-4
-0.012, 6.999e-4
-0.011, 7.005e-4
-0.010, 7.006e-4
-0.009, 7.004e-4
-0.008, 6.996e-4
-0.007, 7.002e-4
-0.006, 7.005e-4
-0.005, 7.002e-4
-0.004, 7.010e-4
-0.003, 7.016e-4
-0.002, 7.025e-4
-0.001, 7.027e-4
-0.000, 7.025e-4
0.001, 7.034e-4
0.002, 7.024e-4
0.003, 7.027e-4
0.004, 7.022e-4
0.005, 7.017e-4
0.006, 7.019e-4
0.007, 7.025e-4
0.008, 7.039e-4
0.009, 7.034e-4
0.010, 7.038e-4
0.011, 7.045e-4
0.012, 7.037e-4
0.013, 7.029e-4
0.014, 7.050e-4
0.015, 7.061e-4
0.016, 7.057e-4
0.017, 7.062e-4
0.018, 7.054e-4
0.019, 7.039e-4
0.020, 7.039e-4
0.021, 7.039e-4
0.022, 7.041e-4
0.023, 7.040e-4
0.024, 7.048e-4
0.025, 7.041e-4
0.026, 7.048e-4
0.027, 7.075e-4
0.028, 7.051e-4
0.029, 7.062e-4
0.030, 7.062e-4
0.031, 7.055e-4
0.032, 7.057e-4
0.033, 7.055e-4
0.034, 7.046e-4
0.035, 7.034e-4
0.036, 7.045e-4
0.037, 7.066e-4
0.038, 7.059e-4
0.039, 7.052e-4
0.040, 7.046e-4
0.041, 7.053e-4
0.042, 7.050e-4
0.043, 7.051e-4
