May 6, 2023   16:16:07
Linear Sweep Voltammetry
File: d:\Data Source:  Experiment
Instrument Model:  CHI750E
Header: 
Note: 

Init E (V) = -0.1
Final E (V) = 0.8
Scan Rate (V/s) = 0.01
Sample Interval (V) = 0.001
Quiet Time (sec) = 2
Sensitivity (A/V) = 0.001

Results:

Channel 1:

Potential/V, Current/A

-0.100, 1.688e-5
-0.099, 3.486e-6
-0.098, -1.872e-6
-0.097, -4.534e-6
-0.096, -6.430e-6
-0.095, -7.851e-6
-0.094, -8.446e-6
-0.093, -9.402e-6
-0.092, -1.020e-5
-0.091, -1.082e-5
-0.090, -1.142e-5
-0.089, -1.206e-5
-0.088, -1.228e-5
-0.087, -1.272e-5
-0.086, -1.285e-5
-0.085, -1.282e-5
-0.084, -1.318e-5
-0.083, -1.322e-5
-0.082, -1.336e-5
-0.081, -1.341e-5
-0.080, -1.348e-5
-0.079, -1.332e-5
-0.078, -1.328e-5
-0.077, -1.306e-5
-0.076, -1.302e-5
-0.075, -1.264e-5
-0.074, -1.250e-5
-0.073, -1.244e-5
-0.072, -1.223e-5
-0.071, -1.194e-5
-0.070, -1.174e-5
-0.069, -1.133e-5
-0.068, -1.104e-5
-0.067, -1.073e-5
-0.066, -1.040e-5
-0.065, -1.013e-5
-0.064, -9.587e-6
-0.063, -9.380e-6
-0.062, -8.909e-6
-0.061, -8.678e-6
-0.060, -8.375e-6
-0.059, -7.958e-6
-0.058, -7.777e-6
-0.057, -7.486e-6
-0.056, -7.049e-6
-0.055, -6.829e-6
-0.054, -6.588e-6
-0.053, -6.315e-6
-0.052, -6.061e-6
-0.051, -6.046e-6
-0.050, -5.606e-6
-0.049, -5.426e-6
-0.048, -5.210e-6
-0.047, -4.989e-6
-0.046, -4.830e-6
-0.045, -4.789e-6
-0.044, -4.473e-6
-0.043, -4.309e-6
-0.042, -4.283e-6
-0.041, -4.224e-6
-0.040, -3.881e-6
-0.039, -3.893e-6
-0.038, -3.862e-6
-0.037, -3.683e-6
-0.036, -3.653e-6
-0.035, -3.614e-6
-0.034, -3.489e-6
-0.033, -3.584e-6
-0.032, -3.454e-6
-0.031, -3.293e-6
-0.030, -3.247e-6
-0.029, -3.101e-6
-0.028, -3.066e-6
-0.027, -2.844e-6
-0.026, -2.753e-6
-0.025, -2.716e-6
-0.024, -2.438e-6
-0.023, -2.332e-6
-0.022, -2.177e-6
-0.021, -1.880e-6
-0.020, -1.846e-6
-0.019, -1.642e-6
-0.018, -1.445e-6
-0.017, -1.272e-6
-0.016, -1.072e-6
-0.015, -8.756e-7
-0.014, -6.991e-7
-0.013, -6.116e-7
-0.012, -4.059e-7
-0.011, -1.631e-7
-0.010, -2.837e-8
-0.009, 1.198e-7
-0.008, 2.333e-7
-0.007, 3.625e-7
-0.006, 5.525e-7
-0.005, 7.330e-7
-0.004, 8.504e-7
-0.003, 9.820e-7
-0.002, 1.136e-6
-0.001, 1.260e-6
-0.000, 1.097e-6
0.001, 1.530e-6
0.002, 1.723e-6
0.003, 1.873e-6
0.004, 1.906e-6
0.005, 2.126e-6
0.006, 2.184e-6
0.007, 2.275e-6
0.008, 2.402e-6
0.009, 2.547e-6
0.010, 2.660e-6
0.011, 2.733e-6
0.012, 2.827e-6
0.013, 2.966e-6
0.014, 2.990e-6
0.015, 3.065e-6
0.016, 3.227e-6
0.017, 3.286e-6
0.018, 3.341e-6
0.019, 3.483e-6
0.020, 3.518e-6
0.021, 3.649e-6
0.022, 3.713e-6
0.023, 3.714e-6
0.024, 3.837e-6
0.025, 3.901e-6
0.026, 3.969e-6
0.027, 4.023e-6
0.028, 4.048e-6
0.029, 4.095e-6
0.030, 4.207e-6
0.031, 4.161e-6
0.032, 4.276e-6
0.033, 4.354e-6
0.034, 4.430e-6
0.035, 4.442e-6
0.036, 4.438e-6
0.037, 4.491e-6
0.038, 4.544e-6
0.039, 4.568e-6
0.040, 4.642e-6
0.041, 4.605e-6
0.042, 4.648e-6
0.043, 4.697e-6
