May 6, 2023   15:56:58
Linear Sweep Voltammetry
File: d:\Data Source:  Experiment
Instrument Model:  CHI750E
Header: 
Note: 

Init E (V) = -0.1
Final E (V) = 0.8
Scan Rate (V/s) = 0.01
Sample Interval (V) = 0.001
Quiet Time (sec) = 2
Sensitivity (A/V) = 0.001

Results:

Channel 1:

Potential/V, Current/A

-0.100, 8.926e-6
-0.099, 8.807e-6
-0.098, 8.728e-6
-0.097, 8.659e-6
-0.096, 8.587e-6
-0.095, 8.527e-6
-0.094, 8.476e-6
-0.093, 8.420e-6
-0.092, 8.346e-6
-0.091, 8.278e-6
-0.090, 8.213e-6
-0.089, 8.152e-6
-0.088, 8.101e-6
-0.087, 8.054e-6
-0.086, 8.008e-6
-0.085, 7.959e-6
-0.084, 7.906e-6
-0.083, 7.857e-6
-0.082, 7.802e-6
-0.081, 7.755e-6
-0.080, 7.714e-6
-0.079, 7.666e-6
-0.078, 7.624e-6
-0.077, 7.585e-6
-0.076, 7.544e-6
-0.075, 7.497e-6
-0.074, 7.457e-6
-0.073, 7.414e-6
-0.072, 7.383e-6
-0.071, 7.344e-6
-0.070, 7.309e-6
-0.069, 7.273e-6
-0.068, 7.236e-6
-0.067, 7.192e-6
-0.066, 7.157e-6
-0.065, 7.120e-6
-0.064, 7.075e-6
-0.063, 7.047e-6
-0.062, 7.019e-6
-0.061, 6.985e-6
-0.060, 6.952e-6
-0.059, 6.920e-6
-0.058, 6.895e-6
-0.057, 6.854e-6
-0.056, 6.823e-6
-0.055, 6.789e-6
-0.054, 6.760e-6
-0.053, 6.728e-6
-0.052, 6.694e-6
-0.051, 6.667e-6
-0.050, 6.639e-6
-0.049, 6.604e-6
-0.048, 6.567e-6
-0.047, 6.543e-6
-0.046, 6.519e-6
-0.045, 6.482e-6
-0.044, 6.448e-6
-0.043, 6.428e-6
-0.042, 6.395e-6
-0.041, 6.372e-6
-0.040, 6.342e-6
-0.039, 6.313e-6
-0.038, 6.278e-6
-0.037, 6.249e-6
-0.036, 6.221e-6
-0.035, 6.192e-6
-0.034, 6.169e-6
-0.033, 6.141e-6
-0.032, 6.111e-6
-0.031, 6.092e-6
-0.030, 6.065e-6
-0.029, 6.035e-6
-0.028, 6.008e-6
-0.027, 5.977e-6
-0.026, 5.954e-6
-0.025, 5.929e-6
-0.024, 5.902e-6
-0.023, 5.873e-6
-0.022, 5.846e-6
-0.021, 5.826e-6
-0.020, 5.801e-6
-0.019, 5.778e-6
-0.018, 5.748e-6
-0.017, 5.728e-6
-0.016, 5.705e-6
-0.015, 5.686e-6
-0.014, 5.656e-6
-0.013, 5.632e-6
-0.012, 5.607e-6
-0.011, 5.579e-6
-0.010, 5.563e-6
-0.009, 5.539e-6
-0.008, 5.511e-6
-0.007, 5.520e-6
-0.006, 5.569e-6
-0.005, 5.508e-6
-0.004, 5.470e-6
-0.003, 5.532e-6
-0.002, 5.470e-6
-0.001, 5.431e-6
-0.000, 5.370e-6
0.001, 5.335e-6
0.002, 5.273e-6
0.003, 5.239e-6
0.004, 5.221e-6
0.005, 5.197e-6
0.006, 5.185e-6
0.007, 5.162e-6
0.008, 5.144e-6
0.009, 5.127e-6
0.010, 5.106e-6
0.011, 5.079e-6
0.012, 5.048e-6
0.013, 5.029e-6
0.014, 5.012e-6
0.015, 4.990e-6
0.016, 4.974e-6
0.017, 4.952e-6
0.018, 4.930e-6
0.019, 4.910e-6
0.020, 4.894e-6
0.021, 4.879e-6
0.022, 4.863e-6
0.023, 4.835e-6
0.024, 4.815e-6
0.025, 4.793e-6
0.026, 4.773e-6
0.027, 4.761e-6
0.028, 4.743e-6
0.029, 4.724e-6
0.030, 4.696e-6
0.031, 4.674e-6
0.032, 4.659e-6
0.033, 4.637e-6
0.034, 4.623e-6
0.035, 4.596e-6
0.036, 4.576e-6
0.037, 4.556e-6
0.038, 4.538e-6
0.039, 4.520e-6
0.040, 4.503e-6
0.041, 4.479e-6
0.042, 4.460e-6
0.043, 4.458e-6
