May 6, 2023   15:15:20
Linear Sweep Voltammetry
File: d:\Data Source:  Experiment
Instrument Model:  CHI750E
Header: 
Note: 

Init E (V) = -0.1
Final E (V) = 0.8
Scan Rate (V/s) = 0.01
Sample Interval (V) = 0.001
Quiet Time (sec) = 2
Sensitivity (A/V) = 0.001

Results:

Channel 1:

Potential/V, Current/A

-0.100, 2.989e-5
-0.099, 1.022e-5
-0.098, -2.130e-6
-0.097, -9.625e-6
-0.096, -1.496e-5
-0.095, -1.859e-5
-0.094, -2.102e-5
-0.093, -2.272e-5
-0.092, -2.443e-5
-0.091, -2.555e-5
-0.090, -2.668e-5
-0.089, -2.757e-5
-0.088, -2.828e-5
-0.087, -2.927e-5
-0.086, -2.943e-5
-0.085, -2.967e-5
-0.084, -3.000e-5
-0.083, -3.057e-5
-0.082, -3.110e-5
-0.081, -3.134e-5
-0.080, -3.131e-5
-0.079, -3.119e-5
-0.078, -3.130e-5
-0.077, -3.139e-5
-0.076, -3.140e-5
-0.075, -3.095e-5
-0.074, -3.094e-5
-0.073, -3.078e-5
-0.072, -3.066e-5
-0.071, -3.069e-5
-0.070, -3.065e-5
-0.069, -3.019e-5
-0.068, -2.991e-5
-0.067, -2.975e-5
-0.066, -2.949e-5
-0.065, -2.914e-5
-0.064, -2.904e-5
-0.063, -2.865e-5
-0.062, -2.821e-5
-0.061, -2.788e-5
-0.060, -2.758e-5
-0.059, -2.718e-5
-0.058, -2.680e-5
-0.057, -2.673e-5
-0.056, -2.628e-5
-0.055, -2.595e-5
-0.054, -2.542e-5
-0.053, -2.500e-5
-0.052, -2.438e-5
-0.051, -2.445e-5
-0.050, -2.411e-5
-0.049, -2.361e-5
-0.048, -2.339e-5
-0.047, -2.281e-5
-0.046, -2.248e-5
-0.045, -2.241e-5
-0.044, -2.190e-5
-0.043, -2.130e-5
-0.042, -2.113e-5
-0.041, -2.100e-5
-0.040, -2.056e-5
-0.039, -2.043e-5
-0.038, -2.008e-5
-0.037, -1.969e-5
-0.036, -1.944e-5
-0.035, -1.907e-5
-0.034, -1.876e-5
-0.033, -1.858e-5
-0.032, -1.835e-5
-0.031, -1.822e-5
-0.030, -1.788e-5
-0.029, -1.749e-5
-0.028, -1.735e-5
-0.027, -1.688e-5
-0.026, -1.673e-5
-0.025, -1.648e-5
-0.024, -1.602e-5
-0.023, -1.569e-5
-0.022, -1.564e-5
-0.021, -1.530e-5
-0.020, -1.488e-5
-0.019, -1.459e-5
-0.018, -1.436e-5
-0.017, -1.388e-5
-0.016, -1.378e-5
-0.015, -1.328e-5
-0.014, -1.294e-5
-0.013, -1.249e-5
-0.012, -1.216e-5
-0.011, -1.181e-5
-0.010, -1.168e-5
-0.009, -1.144e-5
-0.008, -1.089e-5
-0.007, -1.063e-5
-0.006, -1.044e-5
-0.005, -1.019e-5
-0.004, -9.893e-6
-0.003, -9.454e-6
-0.002, -9.279e-6
-0.001, -9.074e-6
-0.000, -9.177e-6
0.001, -8.579e-6
0.002, -8.150e-6
0.003, -7.983e-6
0.004, -7.687e-6
0.005, -7.510e-6
0.006, -7.175e-6
0.007, -6.878e-6
0.008, -6.806e-6
0.009, -6.578e-6
0.010, -6.309e-6
0.011, -5.890e-6
0.012, -5.905e-6
0.013, -5.659e-6
0.014, -5.526e-6
0.015, -5.447e-6
0.016, -5.033e-6
0.017, -4.825e-6
0.018, -4.711e-6
0.019, -4.584e-6
0.020, -4.606e-6
0.021, -4.276e-6
0.022, -4.176e-6
0.023, -3.967e-6
0.024, -3.742e-6
0.025, -3.575e-6
0.026, -3.517e-6
0.027, -3.396e-6
0.028, -3.128e-6
0.029, -2.903e-6
0.030, -2.854e-6
0.031, -2.777e-6
0.032, -2.684e-6
0.033, -2.531e-6
0.034, -2.461e-6
0.035, -2.288e-6
0.036, -2.153e-6
0.037, -2.170e-6
0.038, -1.971e-6
0.039, -1.843e-6
0.040, -1.758e-6
0.041, -1.641e-6
0.042, -1.553e-6
0.043, -1.514e-6
